franchise,part,title,year,franchise_length,rating,rating_avg,rating_diff_avg,rating_rel_avg,quality_avg
Birdemic,2,Birdemic 2: The Resurrection,2013,3,1.52,1.78,-0.26,-15.0,worse
Birdemic,3,Birdemic 3: Sea Eagle,2022,3,2.23,1.78,0.45,25.0,better
Birds of a Feather,1,La Cage aux Folles,1978,3,3.59,3.25,0.34,10.0,better
Birds of a Feather,2,La Cage aux Folles II,1980,3,3.1,3.25,-0.15,-5.0,worse
Birds of a Feather,3,La Cage aux Folles 3: The Wedding,1985,3,3.07,3.25,-0.18,-6.0,worse
Black Society,1,Shinjuku Triad Society,1995,3,3.33,3.48,-0.15,-4.0,worse
Black Society,2,Rainy Dog,1997,3,3.54,3.48,0.06,2.0,better
Black Society,3,Ley Lines,1999,3,3.57,3.48,0.09,3.0,better
Blade,1,Blade,1998,3,3.4,2.97,0.43,14.0,better
Blade,2,Blade II,2002,3,3.24,2.97,0.27,9.0,better
Blade,3,Blade: Trinity,2004,3,2.27,2.97,-0.7,-24.0,worse
Blair Witch,1,The Blair Witch Project,1999,3,3.31,2.52,0.79,31.0,better
Blair Witch,2,Book of Shadows: Blair Witch 2,2000,3,1.92,2.52,-0.6,-24.0,worse
Blair Witch,3,Blair Witch,2016,3,2.33,2.52,-0.19,-8.0,worse
Bleach,1,Bleach the Movie: Memories of Nobody,2006,4,3.16,3.16,-0.0,-0.0,equal
Bleach,2,Bleach the Movie: The DiamondDust Rebellion,2007,4,3.08,3.16,-0.08,-3.0,worse
Bleach,3,Bleach the Movie: Fade to Black,2008,4,3.17,3.16,0.0,0.0,equal
Bleach,4,Bleach the Movie: Hell Verse,2010,4,3.25,3.16,0.08,3.0,better
Blood Feast,1,Blood Feast,1963,4,2.74,2.85,-0.11,-4.0,worse
Blood Feast,2,Blood Diner,1987,4,3.0,2.85,0.15,5.0,better
Blood Feast,3,Blood Feast 2: All U Can Eat,2002,4,3.02,2.85,0.17,6.0,better
Blood Feast,4,Blood Feast,2016,4,2.63,2.85,-0.22,-8.0,worse
Blood Island,1,Terror Is a Man,1959,4,3.06,2.93,0.13,4.0,better
Blood Island,2,Brides of Blood,1968,4,2.9,2.93,-0.03,-1.0,worse
Blood Island,3,Mad Doctor of Blood Island,1969,4,2.84,2.93,-0.09,-3.0,worse
Blood Island,4,Beast of Blood,1970,4,2.91,2.93,-0.02,-1.0,worse
BloodRayne,1,BloodRayne,2005,3,1.6,1.61,-0.01,-1.0,worse
BloodRayne,2,BloodRayne 2: Deliverance,2007,3,1.59,1.61,-0.02,-1.0,worse
BloodRayne,3,BloodRayne: The Third Reich,2010,3,1.63,1.61,0.02,1.0,better
Bloodsport,1,Bloodsport,1988,4,3.33,2.89,0.44,15.0,better
Bloodsport,2,Bloodsport II,1996,4,2.84,2.89,-0.05,-2.0,worse
Bloodsport,3,Bloodsport III,1996,4,2.75,2.89,-0.14,-5.0,worse
Bloodsport,4,Bloodsport: The Dark Kumite,1999,4,2.65,2.89,-0.24,-8.0,worse
Bon Bini Holland,1,Bon Bini Holland,2015,4,2.96,2.97,-0.01,-0.0,worse
Bon Bini Holland,2,Bon Bini Holland 2,2018,4,3.0,2.97,0.03,1.0,better
Bon Bini Holland,3,Bon Bini: Judeska in da House,2020,4,3.0,2.97,0.03,1.0,better
Bon Bini Holland,4,Bon Bini Holland 3,2022,4,2.92,2.97,-0.05,-2.0,worse
Boogeyman,1,Boogeyman,2005,3,1.92,2.2,-0.28,-13.0,worse
Boogeyman,2,Boogeyman 2,2007,3,2.44,2.2,0.24,11.0,better
Boogeyman,3,Boogeyman 3,2008,3,2.25,2.2,0.05,2.0,better
Bridget Jones,1,Bridget Jones's Diary,2001,3,3.39,3.07,0.32,10.0,better
Bridget Jones,2,Bridget Jones: The Edge of Reason,2004,3,2.89,3.07,-0.18,-6.0,worse
Bridget Jones,3,Bridget Jones's Baby,2016,3,2.92,3.07,-0.15,-5.0,worse
Bring It On,1,Bring It On,2000,7,3.3,2.46,0.84,34.0,better
Bring It On,2,Bring It On Again,2004,7,2.3,2.46,-0.16,-7.0,worse
Bring It On,3,Bring It On: All or Nothing,2006,7,2.94,2.46,0.48,20.0,better
Bring It On,4,Bring It On: In It to Win It,2007,7,2.55,2.46,0.09,4.0,better
Bring It On,5,Bring It On: Fight to the Finish,2009,7,2.49,2.46,0.03,1.0,better
Bring It On,6,Bring It On: Worldwide #Cheersmack,2017,7,1.72,2.46,-0.74,-30.0,worse
Bring It On,7,Bring It On: Cheer Or Die,2022,7,1.93,2.46,-0.53,-22.0,worse
Bruno & Boots -,1,Bruno & Boots: Go Jump in the Pool,2016,3,3.18,3.15,0.03,1.0,better
Bruno & Boots -,2,Bruno & Boots: The Wizzle War,2017,3,3.1,3.15,-0.05,-2.0,worse
Bruno & Boots -,3,Bruno & Boots: This Can't Be Happening at Macdonald Hall,2017,3,3.18,3.15,0.03,1.0,better
Bunnyman,1,Bunnyman,2011,3,2.27,2.43,-0.16,-7.0,worse
Bunnyman,2,The Bunnyman Massacre,2014,3,2.35,2.43,-0.08,-3.0,worse
Bunnyman,3,Bunnyman Vengeance,2017,3,2.67,2.43,0.24,10.0,better
Burnt by the Sun Trilogy,1,Burnt by the Sun,1994,3,3.83,3.21,0.62,19.0,better
Burnt by the Sun Trilogy,2,Burnt by the Sun 2: Exodus,2010,3,2.88,3.21,-0.33,-10.0,worse
Burnt by the Sun Trilogy,3,Burnt by the Sun 2: Citadel,2011,3,2.92,3.21,-0.29,-9.0,worse
