tconst,averageRating,numVotes,low_votes
tt0007270,7.6,13,False
tt0007271,7.1,25,False
tt0007272,7.6,34,False
tt0007278,6.2,46,False
tt0007279,5.3,53,False
tt0007297,5.3,36,False
tt0007303,7.2,26,False
tt0007309,5.6,350,False
tt0007313,5.0,24,False
tt0007317,5.7,24,False
tt0007325,4.9,26,False
tt0007326,7.0,22,False
tt0007330,3.2,19,False
tt0007338,6.2,544,False
tt0007339,6.8,22,False
tt0007340,7.0,909,False
tt0007353,5.4,35,False
tt0007355,6.6,15,False
tt0007361,6.2,513,False
tt0007362,5.2,31,False
tt0007367,5.8,577,False
tt0007368,6.3,129,False
tt0007375,2.9,50,False
tt0007407,5.9,24,False
tt0007410,4.2,45,False
tt0007415,5.2,18,False
tt0007417,6.8,21,False
tt0007418,6.2,21,False
tt0007421,4.4,22,False
tt0007422,5.8,47,False
tt0007439,5.5,227,False
tt0007446,6.4,37,False
tt0007453,7.7,64,False
tt0007454,5.8,52,False
tt0007459,6.6,155,False
tt0007462,6.0,30,False
tt0007464,5.7,39,False
tt0007473,6.1,48,False
tt0007491,5.7,17,False
tt0007498,6.5,30,False
tt0007499,3.6,24,False
tt0007506,5.9,23,False
tt0007514,6.2,22,False
tt0007516,4.7,21,False
tt0007518,5.7,25,False
tt0007519,4.9,10,False
tt0007522,5.7,228,False
tt0007524,6.8,23,False
tt0007534,5.1,19,False
tt0007539,6.0,31,False
tt0007547,7.6,13,False
tt0007558,6.2,937,False
tt0007587,4.2,16,False
tt0007590,6.2,69,False
tt0007610,5.8,385,False
tt0007614,6.7,30,False
tt0007617,5.2,157,False
tt0007618,6.5,21,False
tt0007620,5.3,54,False
tt0007623,6.8,19,False
tt0007633,4.2,15,False
tt0007645,7.2,28,False
tt0007664,7.1,20,False
tt0007669,5.2,45,False
tt0007673,5.7,27,False
tt0007678,6.6,18,False
tt0007679,5.5,23,False
tt0007684,5.6,24,False
tt0007697,4.6,19,False
tt0007698,5.2,91,False
tt0007699,5.2,59,False
tt0007702,6.7,35,False
tt0007711,7.0,85,False
tt0007712,5.8,14,False
tt0007744,5.0,24,False
tt0007755,6.1,766,False
tt0007765,4.0,30,False
tt0007769,7.0,27,False
tt0007774,5.4,19,False
tt0007778,6.3,46,False
tt0007794,5.4,17,False
tt0007795,7.0,84,False
tt0007801,6.6,418,False
tt0007811,5.7,27,False
tt0007817,7.0,13,False
tt0007820,4.4,20,False
tt0007826,6.2,15,False
tt0007828,6.1,18,False
tt0007839,5.1,26,False
tt0007857,7.1,28,False
tt0007867,7.4,57,False
tt0007873,6.2,98,False
tt0007885,5.3,39,False
tt0007903,6.4,38,False
tt0007910,6.5,61,False
tt0007927,7.3,29,False
tt0007931,6.5,64,False
tt0007932,6.2,22,False
tt0007933,5.8,10,False
tt0007942,5.0,51,False
tt0007952,6.3,21,False
tt0007958,6.1,33,False
tt0007959,6.3,16,False
tt0007963,7.5,24,False
tt0007983,6.1,283,False
tt0007984,4.0,29,False
tt0007986,5.8,31,False
tt0007992,6.6,61,False
tt0007998,6.8,32,False
tt0008000,4.0,16,False
tt0008004,6.9,33,False
tt0008010,6.2,32,False
tt0008011,6.1,195,False
tt0008014,6.0,11,False
tt0008022,4.7,29,False
tt0008024,5.7,37,False
tt0008026,5.3,9,True
tt0008028,6.8,23,False
tt0008029,6.2,43,False
tt0008031,5.5,29,False
tt0008036,5.5,32,False
tt0008039,4.1,31,False
tt0008041,6.8,42,False
tt0008044,6.6,16,False
tt0008051,5.7,16,False
tt0008060,5.2,128,False
tt0008065,5.6,18,False
tt0008071,5.8,15,False
tt0008076,5.6,17,False
tt0008091,6.3,24,False
tt0008099,6.0,200,False
tt0008100,6.4,919,False
tt0008117,5.4,24,False
tt0008122,6.6,48,False
tt0008123,5.5,16,False
tt0008134,6.7,29,False
tt0008138,4.0,18,False
tt0008144,4.3,41,False
tt0008150,6.4,715,False
tt0008151,4.2,18,False
tt0008159,6.6,71,False
tt0008161,6.2,89,False
tt0008163,3.4,32,False
tt0008164,3.5,31,False
tt0008168,3.5,20,False
tt0008169,7.8,15,False
tt0008175,6.0,17,False
tt0008176,8.0,30,False
tt0008177,6.0,21,False
tt0008188,6.3,801,False
tt0008195,4.6,26,False
tt0008196,6.1,757,False
tt0008201,6.9,21,False
tt0008217,6.8,51,False
tt0008232,5.7,30,False
tt0008241,6.9,25,False
tt0008252,5.9,178,False
tt0008259,6.2,78,False
tt0008260,5.0,17,False
tt0008266,5.8,27,False
tt0008271,4.0,59,False
tt0008279,6.2,175,False
tt0008285,5.6,18,False
tt0008287,4.0,17,False
tt0008294,8.2,18,False
tt0008305,6.7,42,False
tt0008307,5.8,16,False
tt0008309,6.5,383,False
tt0008319,5.4,133,False
tt0008321,8.2,17,False
tt0008329,5.8,115,False
tt0008353,5.5,27,False
tt0008355,6.6,44,False
tt0008359,6.0,62,False
tt0008361,4.6,31,False
tt0008362,7.3,113,False
tt0008371,7.0,36,False
tt0008374,6.2,48,False
tt0008379,5.5,16,False
tt0008381,8.5,123,False
tt0008387,1.1,26,False
tt0008389,5.6,44,False
tt0008392,4.2,16,False
tt0008395,6.8,673,False
tt0008402,4.5,20,False
tt0008406,7.4,20,False
tt0008411,6.2,44,False
tt0008416,6.5,48,False
tt0008431,5.8,25,False
tt0008442,7.0,75,False
tt0008443,6.7,1672,False
tt0008447,4.4,15,False
tt0008457,5.0,21,False
tt0008458,6.2,145,False
tt0008476,7.1,46,False
tt0008489,6.4,210,False
tt0008491,5.1,28,False
tt0008495,3.7,15,False
tt0008496,6.9,26,False
tt0008498,6.1,139,False
tt0008499,6.3,929,False
tt0008502,2.1,26,False
tt0008509,6.2,8,True
tt0008510,5.9,16,False
tt0008519,6.2,919,False
tt0008521,4.2,15,False
tt0008526,8.0,99,False
tt0008527,7.6,13,False
tt0008535,4.6,18,False
tt0008536,6.7,263,False
tt0008539,5.1,31,False
tt0008541,5.5,151,False
tt0008543,8.0,27,False
tt0008544,7.0,32,False
